dataset,train_size,task_type,learning_rate,base,digits,d_model,nhead,num_decoder_layers,dim_feedforward,hidden_dim,dropout,optuna_best_value,optuna_n_trials,optuna_optimization_metric,resolution_source,checkpoint_seed,checkpoint_relative_path,optuna_source_relative_path,architecture_mismatch_keys
1000-Cameras-Dataset,664,regression,9.830725719884071e-05,2,8,512,8,5,2048,128,0.1,0.3672649745160341,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/1000-Cameras-Dataset/1000-Cameras-Dataset/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/1000-Cameras-Dataset/1000-Cameras-Dataset/best_params.json,
2dplanes,26091,regression,1.2664259696358479e-05,8,6,256,8,4,2048,1024,0.1,0.9483673821502269,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/2dplanes/2dplanes/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/2dplanes/2dplanes/best_params.json,
3D_Estimation_using_RSSI_of_WLAN_dataset,3686,regression,4.904009776641434e-05,8,4,256,8,4,2048,1024,0.1,0.9840547880998755,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/3D_Estimation_using_RSSI_of_WLAN_dataset/3D_Estimation_using_RSSI_of_WLAN_dataset/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/3D_Estimation_using_RSSI_of_WLAN_dataset/3D_Estimation_using_RSSI_of_WLAN_dataset/best_params.json,
3D_Estimation_using_RSSI_of_WLAN_dataset_complete_1_target,9216,regression,6.111233903685128e-05,8,4,256,8,4,2048,1024,0.1,0.9661498410868435,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/3D_Estimation_using_RSSI_of_WLAN_dataset_complete_1_target/3D_Estimation_using_RSSI_of_WLAN_dataset_complete_1_target/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/3D_Estimation_using_RSSI_of_WLAN_dataset_complete_1_target/3D_Estimation_using_RSSI_of_WLAN_dataset_complete_1_target/best_params.json,
Abalone_reg,2672,regression,9.850173943649322e-05,4,8,128,8,2,1024,256,0.1,0.5727505400280049,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/Abalone_reg/Abalone_reg/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/Abalone_reg/Abalone_reg/best_params.json,
Ailerons,8800,regression,1e-05,2,8,256,4,3,1024,1024,0.1,0.8438090773855369,25,R2,checkpoint_defaults_due_arch_mismatch,42,results_merge_ce/Ailerons/Ailerons/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/Ailerons/Ailerons/best_params.json,"d_model,dim_feedforward,hidden_dim"
Another-Dataset-on-used-Fiat-500-(1538-rows),984,regression,4.064042869034395e-05,4,4,512,8,4,2048,128,0.1,0.8454934989500582,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/Another-Dataset-on-used-Fiat-500-(1538-rows)/Another-Dataset-on-used-Fiat-500-(1538-rows)/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/Another-Dataset-on-used-Fiat-500-(1538-rows)/Another-Dataset-on-used-Fiat-500-(1538-rows)/best_params.json,
BNG(echoMonths),11196,regression,1.7960911265224074e-05,8,6,256,8,4,2048,1024,0.1,0.4712488174202112,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/BNG(echoMonths)/BNG(echoMonths)/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/BNG(echoMonths)/BNG(echoMonths)/best_params.json,
BNG(lowbwt),19906,regression,7.296312489711165e-05,2,8,256,8,4,1024,128,0.1,0.5995089173126458,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/BNG(lowbwt)/BNG(lowbwt)/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/BNG(lowbwt)/BNG(lowbwt)/best_params.json,
BNG(mv),50388,regression,7.296312489711165e-05,2,8,256,8,4,1024,128,0.1,0.800138686061645,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/BNG(mv)/BNG(mv)/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/BNG(mv)/BNG(mv)/best_params.json,
BNG(stock),37791,regression,7.296312489711165e-05,2,8,256,8,4,1024,128,0.1,0.7917483610017453,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/BNG(stock)/BNG(stock)/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/BNG(stock)/BNG(stock)/best_params.json,
Bias_correction_r,4944,regression,1e-05,2,8,256,4,3,1024,1024,0.1,0.9291408014677662,25,R2,checkpoint_defaults_due_arch_mismatch,42,results_merge_ce/Bias_correction_r/Bias_correction_r/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/Bias_correction_r/Bias_correction_r/best_params.json,"d_model,hidden_dim,num_decoder_layers"
Bias_correction_r_2,4944,regression,4.9122504034865245e-05,4,6,256,8,4,1024,1024,0.1,0.9297779774440714,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/Bias_correction_r_2/Bias_correction_r_2/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/Bias_correction_r_2/Bias_correction_r_2/best_params.json,
Brazilian_houses_reproduced,6842,regression,1e-05,2,8,256,4,3,1024,1024,0.1,0.9964331143974384,25,R2,checkpoint_defaults_due_arch_mismatch,42,results_merge_ce/Brazilian_houses_reproduced/Brazilian_houses_reproduced/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/Brazilian_houses_reproduced/Brazilian_houses_reproduced/best_params.json,d_model
CPMP-2015-regression,1348,regression,7.647426741983054e-05,4,8,256,8,4,512,512,0.1,0.9336519380313237,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/CPMP-2015-regression/CPMP-2015-regression/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/CPMP-2015-regression/CPMP-2015-regression/best_params.json,
CPS1988,18019,regression,4.091220574443785e-05,8,6,256,4,1,1024,512,0.1,0.3077544871493393,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/CPS1988/CPS1988/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/CPS1988/CPS1988/best_params.json,
CookbookReviews,11636,regression,1.3244581340099339e-05,8,6,256,4,5,2048,1024,0.1,0.07509375184872358,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/CookbookReviews/CookbookReviews/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/CookbookReviews/CookbookReviews/best_params.json,
Data_Science_Salaries,2403,regression,1e-05,2,8,256,4,3,1024,1024,0.1,0.1300513786666625,25,R2,checkpoint_defaults_due_arch_mismatch,42,results_merge_ce/Data_Science_Salaries/Data_Science_Salaries/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/Data_Science_Salaries/Data_Science_Salaries/best_params.json,"d_model,dim_feedforward,hidden_dim,num_decoder_layers"
Diamonds,34521,regression,3.3976001160455366e-05,8,6,512,8,4,512,1024,0.1,0.9779525747995693,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/Diamonds/Diamonds/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/Diamonds/Diamonds/best_params.json,
Facebook_Comment_Volume,26207,regression,1e-05,2,8,256,4,3,1024,1024,0.1,0.608858922097937,25,R2,checkpoint_defaults_due_arch_mismatch,42,results_merge_ce/Facebook_Comment_Volume/Facebook_Comment_Volume/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/Facebook_Comment_Volume/Facebook_Comment_Volume/best_params.json,"d_model,hidden_dim,num_decoder_layers"
Food_Delivery_Time,29179,regression,1.3244581340099339e-05,8,6,256,4,5,2048,1024,0.1,0.2948942360045649,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/Food_Delivery_Time/Food_Delivery_Time/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/Food_Delivery_Time/Food_Delivery_Time/best_params.json,
Goodreads-Computer-Books,789,regression,1.7959633910455895e-05,4,8,512,8,4,2048,1024,0.1,0.026826909204116012,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/Goodreads-Computer-Books/Goodreads-Computer-Books/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/Goodreads-Computer-Books/Goodreads-Computer-Books/best_params.json,
IEEE80211aa-GATS,2588,regression,3.488871526177494e-05,8,4,512,8,2,2048,1024,0.1,0.9915501621339842,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/IEEE80211aa-GATS/IEEE80211aa-GATS/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/IEEE80211aa-GATS/IEEE80211aa-GATS/best_params.json,
Job_Profitability,9267,regression,1e-05,2,8,256,4,3,1024,1024,0.1,0.04615723452475917,25,R2,checkpoint_defaults_due_arch_mismatch,42,results_merge_ce/Job_Profitability/Job_Profitability/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/Job_Profitability/Job_Profitability/best_params.json,"d_model,dim_feedforward,hidden_dim,num_decoder_layers"
Kaggle_bike_sharing_demand_challange,6966,regression,9.793794549841274e-05,8,6,128,4,3,2048,1024,0.1,0.7873300578976722,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/Kaggle_bike_sharing_demand_challange/Kaggle_bike_sharing_demand_challange/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/Kaggle_bike_sharing_demand_challange/Kaggle_bike_sharing_demand_challange/best_params.json,
Laptop_Prices_Dataset,2841,regression,5.428013103027414e-05,8,4,256,8,2,2048,1024,0.1,0.7145829467839164,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/Laptop_Prices_Dataset/Laptop_Prices_Dataset/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/Laptop_Prices_Dataset/Laptop_Prices_Dataset/best_params.json,
Large-scale_Wave_Energy_Farm_Perth_100,4656,regression,9.879927557942351e-05,4,6,512,8,4,1024,128,0.1,0.985056302193099,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/Large-scale_Wave_Energy_Farm_Perth_100/Large-scale_Wave_Energy_Farm_Perth_100/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/Large-scale_Wave_Energy_Farm_Perth_100/Large-scale_Wave_Energy_Farm_Perth_100/best_params.json,
Large-scale_Wave_Energy_Farm_Sydney_100,1483,regression,7.296312489711165e-05,2,8,256,8,4,1024,128,0.1,0.950474380400271,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/Large-scale_Wave_Energy_Farm_Sydney_100/Large-scale_Wave_Energy_Farm_Sydney_100/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/Large-scale_Wave_Energy_Farm_Sydney_100/Large-scale_Wave_Energy_Farm_Sydney_100/best_params.json,
Large-scale_Wave_Energy_Farm_Sydney_49,11496,regression,5.240150975876576e-05,8,4,256,8,2,2048,1024,0.1,0.9929866207090096,25,R2,optuna_plus_checkpoint_arch_match,42,results_merge_ce/Large-scale_Wave_Energy_Farm_Sydney_49/Large-scale_Wave_Energy_Farm_Sydney_49/checkpoints_42/checkpoint_best/model.pt,results_optuna_ce/Large-scale_Wave_Energy_Farm_Sydney_49/Large-scale_Wave_Energy_Farm_Sydney_49/best_params.json,
